x,y
1,0.000001
2,0.000001
3,0.000001
4,0.000001
5,0.000001
6,0.000001
7,0.000001
8,0.000001
9,0.000001
10,0.000001
11,0.000001
12,0.000001
13,0.000001
14,0.000001
15,0.000001
16,0.000001
17,0.000001
18,0.000001
19,0.000001
20,0.000002
21,0.000002
22,0.000001
23,0.000001
24,0.000002
25,0.000002
26,0.000002
27,0.000002
28,0.000003
29,0.000001
30,0.000001
31,0.000002
32,0.000002
33,0.000002
34,0.000003
35,0.000003
36,0.000004
37,0.000001
38,0.000002
39,0.000002
40,0.000002
41,0.000002
42,0.000003
43,0.000003
44,0.000004
45,0.000005
46,0.000002
47,0.000002
48,0.000002
49,0.000002
50,0.000003
51,0.000003
52,0.000004
53,0.000005
54,0.000006
55,0.000006
56,0.000001
57,0.000002
58,0.000002
59,0.000003
60,0.000003
61,0.000004
62,0.000005
63,0.000005
64,0.000006
65,0.000007
66,0.000008
67,0.000001
68,0.000002
69,0.000002
70,0.000003
71,0.000004
72,0.000005
73,0.000005
74,0.000006
75,0.000007
76,0.000008
77,0.000009
78,0.000010
79,0.000002
80,0.000002
81,0.000003
82,0.000003
83,0.000004
84,0.000005
85,0.000006
86,0.000007
87,0.000008
88,0.000009
89,0.000010
90,0.000012
91,0.000013
92,0.000001
93,0.000002
94,0.000003
95,0.000004
96,0.000005
97,0.000006
98,0.000007
99,0.000008
100,0.000009
101,0.000010
102,0.000011
103,0.000013
104,0.000015
105,0.000018
106,0.000002
107,0.000003
108,0.000003
109,0.000004
110,0.000006
111,0.000006
112,0.000007
113,0.000009
114,0.000010
115,0.000011
116,0.000013
117,0.000015
118,0.000017
119,0.000019
120,0.000021
121,0.000002
122,0.000003
123,0.000004
124,0.000005
125,0.000006
126,0.000007
127,0.000008
128,0.000010
129,0.000012
130,0.000013
131,0.000015
132,0.000016
133,0.000018
134,0.000021
135,0.000023
136,0.000025
137,0.000002
138,0.000003
139,0.000004
140,0.000005
141,0.000006
142,0.000008
143,0.000009
144,0.000011
145,0.000013
146,0.000014
147,0.000016
148,0.000018
149,0.000021
150,0.000024
151,0.000028
152,0.000028
153,0.000031
154,0.000002
155,0.000003
156,0.000004
157,0.000006
158,0.000007
159,0.000008
160,0.000010
161,0.000012
162,0.000013
163,0.000015
164,0.000018
165,0.000019
166,0.000022
167,0.000024
168,0.000027
169,0.000030
170,0.000033
171,0.000035
172,0.000002
173,0.000004
174,0.000005
175,0.000006
176,0.000007
177,0.000009
178,0.000011
179,0.000013
180,0.000015
181,0.000017
182,0.000019
183,0.000021
184,0.000024
185,0.000027
186,0.000030
187,0.000033
188,0.000036
189,0.000038
190,0.000042
191,0.000002
192,0.000004
193,0.000005
194,0.000007
195,0.000008
196,0.000010
197,0.000012
198,0.000014
199,0.000016
200,0.000018
201,0.000021
202,0.000023
203,0.000026
204,0.000028
205,0.000031
206,0.000035
207,0.000038
208,0.000041
209,0.000046
210,0.000049
211,0.000002
212,0.000004
213,0.000005
214,0.000007
215,0.000009
216,0.000011
217,0.000013
218,0.000015
219,0.000018
220,0.000020
221,0.000023
222,0.000025
223,0.000028
224,0.000031
225,0.000034
226,0.000038
227,0.000041
228,0.000045
229,0.000049
230,0.000053
231,0.000056
232,0.000002
233,0.000004
234,0.000006
235,0.000008
236,0.000009
237,0.000012
238,0.000014
239,0.000016
240,0.000019
241,0.000022
242,0.000024
243,0.000028
244,0.000031
245,0.000034
246,0.000037
247,0.000041
